id,week,weight,regime,gender,dosage
B38619,10,496,Control,Male,11%
B38619,11,513.5,Control,Male,11%
B38619,12,521.5,Control,Male,11%
B38619,13,533.5,Control,Male,11%
B38619,14,540.3,Control,Male,11%
B38620,1,220.3,Control,Male,11%
B38620,2,261.5,Control,Male,11%
B38620,3,305.4,Control,Male,11%
B38620,4,337.1,Control,Male,11%
B38620,5,361,Control,Male,11%
B38620,6,377.3,Control,Male,11%
B38620,7,403.8,Control,Male,11%
B38620,8,419.7,Control,Male,11%
B38620,9,440.8,Control,Male,11%
B38620,10,449.5,Control,Male,11%
B38620,11,460.7,Control,Male,11%
B38620,12,473.2,Control,Male,11%
B38620,13,488.9,Control,Male,11%
B38620,14,493.1,Control,Male,11%
B38621,1,237.6,Control,Male,11%
B38621,2,278.8,Control,Male,11%
B38621,3,325.2,Control,Male,11%
B38621,4,352.4,Control,Male,11%
B38621,5,372.1,Control,Male,11%
B38621,6,389.3,Control,Male,11%
B38621,7,418.5,Control,Male,11%
B38621,8,455.4,Control,Male,11%
B38621,9,466.2,Control,Male,11%
B38621,10,482.1,Control,Male,11%
B38621,11,489.9,Control,Male,11%
B38621,12,504.9,Control,Male,11%
B38621,13,522.3,Control,Male,11%
B38621,14,524.3,Control,Male,11%
B38642,1,232.4,GMO,Male,11%
B38642,2,278.3,GMO,Male,11%
B38642,3,328.2,GMO,Male,11%
B38642,4,281.8,GMO,Male,11%
B38642,5,296.3,GMO,Male,11%
B38642,6,361.5,GMO,Male,11%
B38642,7,384.3,GMO,Male,11%
B38642,8,456.3,GMO,Male,11%
B38642,9,481.6,GMO,Male,11%
B38642,10,499,GMO,Male,11%
B38642,11,507.2,GMO,Male,11%
B38642,12,514.3,GMO,Male,11%
B38642,13,526,GMO,Male,11%
B38642,14,534.7,GMO,Male,11%
B38643,1,219.4,GMO,Male,11%
B38643,2,265,GMO,Male,11%
B38643,3,310.5,GMO,Male,11%
B38643,4,324.3,GMO,Male,11%
B38643,5,357.2,GMO,Male,11%
B38643,6,366,GMO,Male,11%
B38643,7,388.2,GMO,Male,11%
B38643,8,404.3,GMO,Male,11%
B38643,9,409.5,GMO,Male,11%
B38643,10,418.1,GMO,Male,11%
B38643,11,415.3,GMO,Male,11%
B38643,12,406,GMO,Male,11%
B38643,13,427.3,GMO,Male,11%
B38643,14,426.9,GMO,Male,11%
B38644,1,217.9,GMO,Male,11%
B38644,2,263,GMO,Male,11%
B38644,3,310.2,GMO,Male,11%
B38644,4,340.8,GMO,Male,11%
B38644,5,370.5,GMO,Male,11%
B38644,6,391.4,GMO,Male,11%
B38644,7,425,GMO,Male,11%
B38644,8,440.4,GMO,Male,11%
B38644,9,456,GMO,Male,11%
B38644,10,469.9,GMO,Male,11%
B38644,11,473.1,GMO,Male,11%
B38644,12,474.1,GMO,Male,11%
B38644,13,492.5,GMO,Male,11%
B38644,14,498.9,GMO,Male,11%
B38645,1,201.4,GMO,Male,11%
B38645,2,243.7,GMO,Male,11%
B38645,3,297.6,GMO,Male,11%
B38645,4,329.9,GMO,Male,11%
B38645,5,362,GMO,Male,11%
B38645,6,382.2,GMO,Male,11%
B38645,7,424.4,GMO,Male,11%
B38645,8,448.7,GMO,Male,11%
B38645,9,473.7,GMO,Male,11%
B38645,10,486.5,GMO,Male,11%
B38645,11,508,GMO,Male,11%
B38645,12,508.5,GMO,Male,11%
B38645,13,520.1,GMO,Male,11%
B38645,14,531.6,GMO,Male,11%
B38646,1,214.7,GMO,Male,11%
B38646,2,264.7,GMO,Male,11%
B38646,3,304.3,GMO,Male,11%
B38646,4,335.4,GMO,Male,11%
B38646,5,355.8,GMO,Male,11%
B38646,6,374.6,GMO,Male,11%
B38646,7,390.6,GMO,Male,11%
B38646,8,410.1,GMO,Male,11%
B38646,9,416,GMO,Male,11%
B38646,10,435.2,GMO,Male,11%
B38646,11,444.3,GMO,Male,11%
B38646,12,446.1,GMO,Male,11%
B38646,13,453.6,GMO,Male,11%
B38646,14,465.3,GMO,Male,11%
B38647,1,224.6,GMO,Male,11%
B38647,2,276.7,GMO,Male,11%
B38647,3,309.5,GMO,Male,11%
B38647,4,365.7,GMO,Male,11%
B38647,5,396,GMO,Male,11%
B38647,6,413.4,GMO,Male,11%
B38647,7,445.8,GMO,Male,11%
B38647,8,467,GMO,Male,11%
